reference_predicted_price,item_name,item_wear,item_is_stattrak,item_rarity,item_quality,item_float_value,item_paint_index
22580,★ Nomad Knife | Tiger Tooth (Factory New),Factory New,False,6,3,0.031251247972249985,409
8153,★ Ursus Knife | Damascus Steel (Field-Tested),Field-Tested,False,6,3,0.30630865693092346,857
9045,★ Gut Knife | Freehand (Factory New),Factory New,False,6,3,0.003969862125813961,580
10510,★ Nomad Knife | Forest DDPAT (Minimal Wear),Minimal Wear,False,6,3,0.07351362705230713,5
9575,★ Bowie Knife | Bright Water (Factory New),Factory New,False,6,3,0.001676731975749135,579
60294,★ Karambit | Black Laminate (Battle-Scarred),Battle-Scarred,False,6,3,0.4877570867538452,566
14983,★ Gut Knife | Doppler (Factory New),Factory New,False,6,3,0.023907920345664024,419
59423,★ Bayonet | Doppler (Factory New),Factory New,False,6,3,0.027646755799651146,419
10505,★ Nomad Knife | Forest DDPAT (Minimal Wear),Minimal Wear,False,6,3,0.07332561165094376,5
55062,★ Karambit | Lore (Field-Tested),Field-Tested,False,6,3,0.2625243663787842,561
9276,★ Shadow Daggers | Tiger Tooth (Factory New),Factory New,False,6,3,0.002830635290592909,409
6900,★ Huntsman Knife | Black Laminate (Field-Tested),Field-Tested,False,6,3,0.3104495704174042,1112
25031,★ Falchion Knife | Gamma Doppler (Factory New),Factory New,False,6,3,0.03027202934026718,570
27510,★ Huntsman Knife | Gamma Doppler (Factory New),Factory New,False,6,3,0.0335560142993927,570
47463,★ StatTrak™ Butterfly Knife | Forest DDPAT (Minimal Wear),Minimal Wear,True,6,3,0.12407632172107697,5
11795,★ Kukri Knife | Case Hardened (Field-Tested),Field-Tested,False,6,3,0.18012933433055878,44
4751,★ Shadow Daggers | Bright Water (Field-Tested),Field-Tested,False,6,3,0.20067128539085388,579
60308,★ Butterfly Knife | Lore (Well-Worn),Well-Worn,False,6,3,0.3970499038696289,1105
26690,★ Huntsman Knife | Crimson Web (Minimal Wear),Minimal Wear,False,6,3,0.08384482562541962,12
30823,★ Flip Knife | Doppler (Factory New),Factory New,False,6,3,0.052890270948410034,418
13221,★ Skeleton Knife | Scorched (Field-Tested),Field-Tested,False,6,3,0.1947789192199707,175
147237,★ Karambit | Doppler (Factory New),Factory New,False,6,3,0.0271527711302042,418
119976,★ StatTrak™ Butterfly Knife | Case Hardened (Minimal Wear),Minimal Wear,True,6,3,0.14134860038757324,44
22819,★ Talon Knife | Ultraviolet (Battle-Scarred),Battle-Scarred,False,6,3,0.5640967488288879,98
77541,★ Butterfly Knife | Damascus Steel (Minimal Wear),Minimal Wear,False,6,3,0.11949020624160767,411
71207,★ Butterfly Knife | Case Hardened (Field-Tested),Field-Tested,False,6,3,0.3584445118904114,44
43405,★ Butterfly Knife | Boreal Forest (Field-Tested),Field-Tested,False,6,3,0.3170334994792938,77
25067,★ StatTrak™ Bowie Knife | Marble Fade (Factory New),Factory New,True,6,3,0.011204608716070652,413
16034,★ Survival Knife | Fade (Factory New),Factory New,False,6,3,0.010867465287446976,38
23942,★ Huntsman Knife | Gamma Doppler (Factory New),Factory New,False,6,3,0.03526867553591728,571
47760,★ M9 Bayonet | Black Laminate (Battle-Scarred),Battle-Scarred,False,6,3,0.529273271560669,567
9734,★ Survival Knife | Case Hardened (Well-Worn),Well-Worn,False,6,3,0.44787994027137756,44
42986,★ Flip Knife | Doppler (Factory New),Factory New,False,6,3,0.06519382447004318,419
13399,★ Ursus Knife | Crimson Web (Field-Tested),Field-Tested,False,6,3,0.2962563633918762,12
9286,★ Kukri Knife | Blue Steel (Field-Tested),Field-Tested,False,6,3,0.32409632205963135,42
12950,★ Stiletto Knife | Scorched (Field-Tested),Field-Tested,False,6,3,0.3673385679721832,175
